Date,View,Videos
9/2/2020,34266097,316
9/3/2020,40865645,354
9/4/2020,43786038,329
9/5/2020,64830925,338
9/6/2020,44026491,305
9/7/2020,41192330,337
9/8/2020,38861861,359
9/9/2020,39910138,367
9/10/2020,50305764,376
9/11/2020,46897115,372
9/12/2020,55478260,366
9/13/2020,47961655,297
9/14/2020,39043757,334
9/15/2020,43598391,366
9/16/2020,38055331,368
9/17/2020,37429916,410
9/18/2020,43029699,350
9/19/2020,62639622,398
9/20/2020,47495779,274
9/21/2020,30975642,361
9/22/2020,40579760,377
9/23/2020,44006884,371
9/24/2020,44071090,329
9/25/2020,52589611,431
9/26/2020,55194869,317
9/27/2020,42830219,324
9/28/2020,40701901,305
9/29/2020,40766622,360
9/30/2020,38551609,435
10/1/2020,46676986,353
10/2/2020,46643477,366
10/3/2020,61808063,371
10/4/2020,43602468,293
10/5/2020,27849468,338
10/6/2020,40714303,374
10/7/2020,26218646,390
10/8/2020,43797778,395
10/9/2020,42668151,407
10/10/2020,62326224,413
10/11/2020,42574453,316
10/12/2020,32647775,359
10/13/2020,34657361,305
10/14/2020,40578185,399
10/15/2020,46742474,355
10/16/2020,47527882,347
10/17/2020,38182279,295
10/18/2020,35227606,266
10/19/2020,26484599,306
10/20/2020,37205878,346
10/21/2020,40375947,366
10/22/2020,40260164,363
10/23/2020,62226104,325
10/24/2020,54465498,351
10/25/2020,38501542,279
10/26/2020,25761893,313
10/27/2020,45449571,414
10/28/2020,46204497,368
10/29/2020,39655173,439
10/30/2020,41520095,389
10/31/2020,52350372,335
11/1/2020,58157198,291
11/2/2020,32784794,310
11/3/2020,38167198,352
11/4/2020,37315717,379
11/5/2020,38847709,369
11/6/2020,39353878,413
11/7/2020,60982838,334
11/8/2020,38109217,281
11/9/2020,29219957,338
11/10/2020,32967771,396
11/11/2020,27982815,349
11/12/2020,47374683,379
11/13/2020,39621069,338
11/14/2020,45320195,366
11/15/2020,42567671,338
11/16/2020,28330554,344
11/17/2020,32604253,352
11/18/2020,35297996,357
11/19/2020,34005440,336
11/20/2020,37051075,353
11/21/2020,40508854,346
11/22/2020,34762826,285
11/23/2020,31409673,333
11/24/2020,30187292,357
11/25/2020,36449277,364
11/26/2020,27048173,354
11/27/2020,31881159,348
11/28/2020,37521643,335
11/29/2020,31777137,298
11/30/2020,22139774,345
12/1/2020,33520575,352
12/2/2020,34377293,429
12/3/2020,32701248,362
12/4/2020,39224030,391
12/5/2020,40635796,329
12/6/2020,43494817,356
12/7/2020,20127563,317
12/8/2020,26821295,383
12/9/2020,37617447,363
12/10/2020,34386356,367
12/11/2020,31921268,379
12/12/2020,43356214,361
12/13/2020,33522674,297
12/14/2020,20385808,297
12/15/2020,25393995,305
12/16/2020,21153059,309
12/17/2020,24519786,334
12/18/2020,30428089,328
12/19/2020,37937644,311
12/20/2020,31634791,272
12/21/2020,20472706,277
12/22/2020,25910321,307
12/23/2020,25154669,316
12/24/2020,22559179,315
12/25/2020,24976086,350
12/26/2020,31571218,317
12/27/2020,26112039,287
12/28/2020,17007664,297
12/29/2020,21331192,294
12/30/2020,23025772,311
12/31/2020,16092542,253
